userId,movieId,rating,interaction
2,5,3.0,1
2,32,2.0,0
2,1552,2.0,0
2,788,1.0,0
2,786,1.0,0
4,223,4.0,1
4,3004,1.0,0
4,3409,2.0,0
4,2710,2.0,0
4,2694,1.0,0
7,293,5.0,1
7,30793,2.5,0
7,40815,2.5,0
7,4306,2.5,0
7,60074,1.0,0
8,1,4.0,1
8,832,2.0,0
8,4291,2.0,0
8,4361,2.0,0
8,3107,2.0,0
9,1,4.5,1
9,3535,2.5,0
9,4370,2.5,0
9,1391,2.5,0
9,852,2.0,0
11,32,3.5,1
11,6624,2.5,0
11,784,2.0,0
11,4226,2.5,0
11,59107,2.5,0
12,1,4.0,1
12,2520,1.0,0
12,1270,2.0,0
12,1892,1.0,0
12,2416,1.0,0
13,1965,3.5,1
13,58047,1.5,0
13,1911,2.0,0
13,3258,2.5,0
13,3444,1.5,0
15,6,4.0,1
15,7143,0.5,0
15,89745,2.5,0
15,55247,0.5,0
15,1196,1.0,0
17,356,5.0,1
17,4149,2.0,0
17,4270,2.0,0
17,4745,2.0,0
17,4228,2.0,0
19,1175,3.0,1
19,2371,1.5,0
19,3868,0.5,0
19,2109,2.0,0
19,1411,2.5,0
20,1,4.0,1
20,141858,2.0,0
20,74789,2.5,0
20,7034,2.0,0
20,59141,2.5,0
22,110,5.0,1
22,2054,2.5,0
22,552,2.5,0
22,172,0.5,0
22,2657,1.5,0
24,1,4.0,1
24,3962,2.0,0
24,524,2.0,0
24,2926,2.0,0
24,3593,1.0,0
27,1,3.5,1
27,1441,2.5,0
27,356,0.5,0
27,3481,2.5,0
27,175,2.5,0
29,17,4.0,1
29,2134,2.0,0
29,4306,2.0,0
29,2572,2.0,0
29,3436,2.0,0
32,260,5.0,1
32,597,1.5,0
32,589,2.0,0
32,3082,2.5,0
32,97938,2.5,0
34,1,3.0,1
34,166528,2.0,0
34,109374,2.0,0
34,1721,2.0,0
34,33493,0.5,0
37,1,3.5,1
37,1644,2.0,0
37,587,1.0,0
37,3255,1.0,0
37,1721,2.5,0
41,1,3.5,1
41,2355,2.5,0
41,2294,1.0,0
41,35836,2.0,0
41,108932,0.5,0
43,1,3.5,1
43,5505,1.5,0
43,1020,2.5,0
43,48,2.5,0
43,1777,2.0,0
46,1,4.5,1
46,7158,2.5,0
46,2709,2.5,0
46,3623,1.5,0
46,880,2.5,0
47,1,5.0,1
47,3578,2.0,0
47,914,2.0,0
47,1873,2.0,0
47,1010,2.0,0
48,261,3.0,1
48,4161,2.5,0
48,82152,2.0,0
48,86332,2.5,0
48,1381,0.5,0
49,1,5.0,1
49,1876,2.0,0
49,4210,0.5,0
49,4446,2.5,0
49,2643,2.0,0
53,11,4.0,1
53,2674,2.0,0
53,1199,2.0,0
53,2710,2.0,0
53,2445,2.0,0
55,1,5.0,1
55,357,2.0,0
55,4816,2.0,0
55,17,1.0,0
55,1302,2.0,0
56,1,5.0,1
56,1222,2.5,0
56,48516,2.5,0
56,2321,2.5,0
56,4973,2.5,0
59,50,4.0,1
59,1,1.0,0
59,688,0.5,0
59,609,0.5,0
59,3264,2.5,0
60,163,4.0,1
60,3939,0.5,0
60,1984,2.5,0
60,4889,0.5,0
60,4310,0.5,0
61,345,4.5,1
61,198,0.5,0
61,342,2.5,0
61,3751,1.5,0
61,785,2.5,0
62,1,3.0,1
62,1033,2.0,0
62,32381,2.5,0
62,1831,1.5,0
62,595,2.5,0
63,1,3.5,1
63,356,2.0,0
63,637,1.5,0
63,153,1.0,0
63,4816,0.5,0
64,32,3.5,1
64,1199,2.0,0
64,52,2.0,0
64,2011,2.0,0
64,955,2.5,0
65,1,4.0,1
65,2065,1.0,0
65,2919,2.0,0
65,1589,2.0,0
65,2746,2.0,0
66,333,3.5,1
66,596,2.0,0
66,762,0.5,0
66,1732,0.5,0
66,2081,2.5,0
67,1,5.0,1
67,2571,0.5,0
67,480,2.0,0
67,5151,1.0,0
67,7444,1.5,0
68,1,4.5,1
68,1373,2.5,0
68,4643,2.5,0
68,3697,2.0,0
68,1359,2.0,0
71,32,4.0,1
71,2352,2.0,0
71,524,2.0,0
71,2915,2.5,0
71,3108,2.5,0
74,1,5.0,1
74,175,2.0,0
74,648,2.0,0
74,344,1.0,0
74,788,2.0,0
75,1,4.0,1
75,5025,2.0,0
75,1917,2.0,0
75,3623,0.5,0
75,110,0.5,0
76,1,3.5,1
76,1556,0.5,0
76,91104,2.5,0
76,5265,1.0,0
76,55820,1.5,0
78,1588,3.0,1
78,1183,2.0,0
78,1645,2.0,0
78,1617,2.0,0
78,1584,2.0,0
79,94,3.0,1
79,34405,1.5,0
79,6539,2.5,0
79,84954,1.0,0
79,79132,0.5,0
82,1,3.0,1
82,1240,1.5,0
82,54001,1.0,0
82,8368,1.0,0
82,70286,2.0,0
83,17,5.0,1
83,1265,2.5,0
83,110,0.5,0
83,27611,2.5,0
83,46578,2.0,0
84,10,3.5,1
84,173,1.5,0
84,315,1.0,0
84,1527,2.0,0
84,6157,2.0,0
89,24,4.0,1
89,1208,2.0,0
89,1676,1.0,0
89,1080,2.0,0
89,606,1.0,0
90,466,3.0,1
90,2291,1.0,0
90,3996,1.5,0
90,186,1.0,0
90,2395,2.0,0
96,306,4.0,1
96,2805,2.0,0
96,44761,1.5,0
96,2719,1.0,0
96,3968,1.0,0
97,318,4.0,1
97,485,2.0,0
97,50,1.0,0
97,500,1.5,0
97,1639,2.0,0
98,1,4.0,1
98,345,2.5,0
98,2100,1.5,0
98,596,2.0,0
98,2710,2.5,0
102,541,3.5,1
102,1959,2.0,0
102,1619,1.5,0
102,1103,2.0,0
102,3424,1.0,0
103,10,4.0,1
103,160,2.0,0
103,432,2.0,0
103,410,2.0,0
103,597,1.0,0
104,118,3.5,1
104,1250,2.5,0
104,2571,0.5,0
104,953,2.0,0
104,2100,2.5,0
105,1,5.0,1
105,2858,2.5,0
105,1197,0.5,0
105,63859,2.0,0
105,3510,1.0,0
106,47,4.0,1
106,53129,1.5,0
